csdk-tyche(us),call-raw(us),call-kvm(us),null-call(us),call-tyche-rv(us),call-raw-rv(us),null-call-rv(us)
6.992,5.348,11.505,0.489,6.521,3.902,0.246
6.865,5.300,11.496,0.495,6.471,3.899,0.246
6.715,5.219,11.321,0.487,6.469,3.899,0.246
6.712,5.220,11.250,0.511,6.617,3.899,0.246
6.713,5.220,11.244,0.492,6.479,3.885,0.246
6.712,5.218,11.261,0.497,6.478,3.905,0.246
6.710,5.218,11.276,0.473,6.478,3.916,0.246
6.713,5.219,11.251,0.472,6.483,3.901,0.245
6.724,5.234,11.255,0.471,6.476,3.895,0.246
6.717,5.240,11.237,0.475,6.479,3.903,0.246
6.723,5.228,11.418,0.499,6.572,3.893,0.246
6.719,5.222,11.321,0.487,6.556,3.875,0.246
6.709,5.222,11.327,0.486,6.562,3.896,0.246
6.708,5.220,11.339,0.496,6.557,3.897,0.246
6.708,5.223,11.319,0.495,6.552,3.896,0.246
6.707,5.264,11.322,0.501,6.554,3.897,0.246
6.813,5.226,11.319,0.487,6.554,3.897,0.246
6.701,5.221,11.569,0.498,6.552,3.896,0.245
6.702,5.221,11.582,0.470,6.558,3.896,0.246
6.699,5.219,11.312,0.470,6.552,3.896,0.246
6.757,5.221,11.527,0.527,6.573,3.895,0.246
6.698,5.223,11.391,0.553,6.560,3.882,0.246
6.700,5.238,11.400,0.493,6.571,3.897,0.246
6.733,5.221,11.422,0.505,6.572,3.897,0.246
6.698,5.215,11.474,0.489,6.555,3.897,0.246
6.703,5.216,11.404,0.484,6.557,3.897,0.246
6.698,5.215,11.427,0.500,6.558,3.892,0.246
6.697,5.214,11.399,0.489,6.565,3.897,0.245
6.698,5.211,11.423,0.489,6.564,3.896,0.246
6.698,5.217,11.407,0.501,6.555,3.911,0.246
